#------------------------------------------------------------------------------		
#		
# GENERIC WORDS, sorted alphabetically		
#		
#------------------------------------------------------------------------------		
		
action	Action	Aktion
baseline.specify_days	Specify a number of days	Geben Sie eine Anzahl von Tagen
baseline.last_analysis_before	Last analysis before	Letzte Analyse vor
baseline.next_analysis_notice	Changes will take effect after the next analysis	Die Änderungen werden erst wirksam, wenn die nächste Analyse
		
baseline.reference_branch.choose	Choose a branch	Wählen Sie einen Zweig
baseline.reference_branch.does_not_exist	Branch {0} could not be found in SonarQube.	Zweig {0} konnte nicht in Sonarqube gefunden werden.
baseline.reference_branch.cannot_be_itself	A branch cannot be used as its own reference branch	Ein Zweig kann nicht als seinen eigenen Referenzzweig verwendet werden
baseline.reference_branch.invalid_branch_setting	Branch {0} cannot use itself as a reference. Define a specific setting instead of using the project-level setting.	Zweig {0} kann sich nicht als Referenz verwenden. Definieren Sie eine bestimmte Einstellung anstelle der Verwendung der Projektebene Einstellung.
baseline.edit_branch_setting	Edit the branch's setting	Bearbeiten Sie die Einstellung der Niederlassung
		
branch_list.branch	Branch	Ast
branch_list.current_setting	Setting	Rahmen
branch_list.current_baseline	Current Baseline	aktuelle Basis
branch_list.actions	Actions	Aktionen
branch_list.default_setting	Project setting	Projekteinstellung
		
baseline.new_code_period_for_branch_x	New Code Period for {0}	Neuer Code Zeitraum für {0}
		
baseline.analysis_from	Analysis from:	Analyse von:
baseline.branch_analyses.ranges.30days	Last 30 days	Letzte 30 Tage
baseline.branch_analyses.ranges.allTime	All time	Jederzeit
baseline.no_analyses	No analyses	keine Analysen
		
#------------------------------------------------------------------------------		
#		
# OTHER PAGE TITLES		
#		
#------------------------------------------------------------------------------		
		
overview.page	Overview	Überblick
code.page	Code	Code
permissions.page	Permissions	Berechtigungen
quality_profiles.page	Quality Profiles	Qualitätsprofile
quality_gates.page	Quality Gates	Quality Gates
issues.page	Issues	Probleme
issues.skip_to_filters	Skip to issue filters	Weiter zu den Ausgabe-Filter
issues.skip_to_list	Skip to issues list	Weiter zu den Themen Liste
view_projects.page	Projects	Projekte
portfolios.page	Portfolios	Portfolios
project_activity.page	Activity	Aktivität
		
		
#------------------------------------------------------------------------------		
#		
# ASYNC PROCESS		
#		
#------------------------------------------------------------------------------		
		
process.still_working	Still Working...	Immer noch am arbeiten...
process.fail	Failed	Gescheitert
		
		
#------------------------------------------------------------------------------		
#		
# SESSION		
#		
#------------------------------------------------------------------------------		
		
sessions.log_in	Log in	Einloggen
sessions.email_already_exists.1	The email address {email} is already associated to this user account:	Die E-Mail-Adresse {E-Mail} ist bereits zu diesem Benutzerkonto zugeordnet:
sessions.email_already_exists.2	By clicking on "Continue" you will associate this email address to another user account:	Mit einem Klick auf „Weiter“ werden Sie diese E-Mail-Adresse zu einem anderen Benutzerkonto zuordnen:
sessions.email_already_exists.3	This means the following:	Das bedeutet folgendes:
sessions.email_already_exists.4	Your email address will be erased from the first account.	Ihre E-Mail-Adresse wird von dem ersten Konto gelöscht werden.
sessions.email_already_exists.5	You will no longer receive email notifications from this account.	Sie werden nicht mehr E-Mail-Benachrichtigungen von diesem Konto erhalten.
sessions.email_already_exists.6	Issues won't be automatically assigned to this account anymore.	Probleme werden nicht automatisch auf dieses Konto nicht mehr zugeordnet werden.
		
#------------------------------------------------------------------------------		
#		
# HOTSPOTS		
#		
#------------------------------------------------------------------------------		
		
risk_exposure.HIGH	High	Hoch
risk_exposure.MEDIUM	Medium	Mittel
risk_exposure.LOW	Low	Niedrig
		
hotspots.page	Security Hotspots	Sicherheits Hotspots
hotspots.no_hotspots.title	There are no Security Hotspots to review.	Es gibt keine Sicherheit Hotspots zu überprüfen.
hotspots.no_hotspots.description	Next time you analyze a piece of code that contains a potential security risk, it will show up here.	Nächstes Mal, wenn Sie ein Stück Code zu analysieren, die ein potenzielles Sicherheitsrisiko enthält, wird es hier angezeigt.
hotspots.no_hotspots_for_filters.title	We couldn't find any results matching the selected criteria.	Wir konnten keine Ergebnisse stimmen mit den ausgewählten Kriterien finden.
hotspots.no_hotspots_for_filters.description	Try changing the filters to get some results.	Versuchen Sie, die Filter zu ändern, einige Ergebnisse zu erhalten.
hotspots.no_hotspots_for_keys.title	The requested hotspots no longer exist.	Die angeforderten Hotspots nicht mehr existieren.
hotspots.no_hotspots_for_keys.description	They have been closed because the code involved has been changed or removed.	Sie wurden geschlossen, weil der Code beteiligt geändert oder entfernt wurde.
hotspots.learn_more	Learn more about Security Hotspots	Weitere Informationen zum Sicherheits Hotspots
hotspots.list_title	{0} Security Hotspots	{0} Sicherheit Hotspots
hotspots.list_title.TO_REVIEW	{0} Security Hotspots to review	{0} Sicherheit Hotspots zu bewerten
hotspots.list_title.FIXED	{0} Security Hotspots reviewed as fixed	{0} überprüft Sicherheit Hotspots als Fest
hotspots.list_title.SAFE	{0} Security Hotspots reviewed as safe	{0} Sicherheit Hotspots Bewertung als sicher
hotspots.risk_exposure	Review priority	Bewertung Priorität
		
hotspots.tabs.risk_description	What's the risk?	Was ist das Risiko?
hotspots.tabs.vulnerability_description	Are you at risk?	Sind Sie gefährdet?
hotspots.tabs.fix_recommendations	How can you fix it?	Wie kann man das Problem beheben?
hotspots.review_history.created	created Security Hotspot	erstellt Sicherheits Hotspot
hotspots.review_history.comment_added	added a comment	hat einen Kommentar
hotspots.comment.field	Comment:	Kommentar:
hotspots.comment.open	Add Comment	Einen Kommentar hinzufügen
hotspots.comment.submit	Comment	Kommentar
hotspots.open_in_ide.open	Open in IDE	Open in IDE
hotspots.open_in_ide.success	Success. Switch to your IDE to see the security hotspot.	Erfolg. Wechseln Sie Ihre IDE die Sicherheit Hotspot zu sehen.
hotspots.open_in_ide.failure	Unable to connect to your IDE to open the Security Hotspot. Please make sure you're running the latest version of SonarLint.	Können Sie Ihre IDE schließen Sie den Sicherheits Hotspot zu öffnen. Bitte stellen Sie sicher, dass Sie die neueste Version von SonarLint läuft.
		
hotspots.assignee.select_user	Select a user...	Wählen Sie einen Benutzer ...
hotspots.status.cannot_change_status	Changing a hotspot's status requires permission.	ein Hotspot der Statusänderung bedarf der Genehmigung.
hotspots.status.select_status	Select a status...	Wählen Sie einen Status ...
hotspots.status.add_comment	Add a comment (Optional)	Fügen Sie einen Kommentar (Optional)
hotspots.status.change_status	Change status	Status ändern
hotspots.status_option.TO_REVIEW	To review	Zur Überprüfung
hotspots.status_option.TO_REVIEW.description	This Security Hotspot needs to be reviewed to assess whether the code poses a risk.	Diese Sicherheits Hotspot muss überprüft werden, um festzustellen, ob der Code ein Risiko darstellt.
hotspots.status_option.FIXED	Fixed	Fest
hotspots.status_option.FIXED.description	The code has been modified to follow recommended secure coding practices.	Der Code wird geändert empfohlene sichere Codierung Praktiken zu folgen.
hotspots.status_option.SAFE	Safe	Sicher
hotspots.status_option.SAFE.description	The code is not at risk and doesn't need to be modified.	Der Code ist nicht gefährdet und muss nicht geändert werden.
hotspots.get_permalink	Get Permalink	Get Permalink
hotspots.no_associated_lines	Security Hotspot raised on the following file:	Sicherheits Hotspot angehoben auf die folgende Datei:
		
hotspot.filters.title	Filters	Filter
hotspot.filters.assignee.assigned_to_me	Assigned to me	Mir zugewiesen
hotspot.filters.assignee.all	All	Alle
hotspot.filters.status.to_review	To review	Zur Überprüfung
hotspot.filters.status.fixed	Reviewed as fixed	Bewertet als Fest
hotspot.filters.period.since_leak_period	New code	Neuer Code
hotspot.filters.period.overall	Overall code	insgesamt Code
hotspot.filters.status.safe	Reviewed as safe	Bewertet als sicher
hotspot.filters.show_all	Show all hotspots	Alle Hotspots
hotspot.section.activity	Activity:	Aktivität:
		
hotspots.reviewed.tooltip	Percentage of Security Hotspots reviewed (fixed or safe) among all non-closed Security Hotspots.	Prozentualer Anteil der Sicherheits Hotspots überprüft (fest oder sicher) unter allen nicht-geschlossene Sicherheits Hotspots.
hotspots.review_hotspot	Review Hotspot	Bewertung Hotspot
		
hotspots.assign.success	Security Hotspot was successfully assigned to {0}	Sicherheits Hotspot wurde erfolgreich zugewiesen {0}
hotspots.update.success	Security Hotspot status was successfully changed to {0}	Sicherheits Hotspot-Status wurde erfolgreich geändert zu {0}
		
#------------------------------------------------------------------------------		
#		
# ISSUES		
#		
#------------------------------------------------------------------------------		
		
issues.on_file_x	Issues on file {0}	Fragen über Datei {0}
issue.add_tags	Add Tags	Tags hinzufügen
issue.remove_tags	Remove Tags	entfernen Sie Stichworte
issue.no_tag	No tags	Keine Tags
issue.assign.assigned_to_x_click_to_change	Assigned to {0}, click to change	Zugeordnet zu {0}, klicken Sie auf Änderung
issue.assign.unassigned_click_to_assign	Unassigned, click to assign issue	Nicht zugewiesen, klicken Sie auf assign Ausgabe
issue.assign.formlink	Assign	Zuordnen
issue.assign.to_me	to me	mir
issue.comment.add_comment	Add Comment	Einen Kommentar hinzufügen
issue.comment.formlink	Comment	Kommentar
issue.comment.submit	Comment	Kommentar
issue.comment.explain_why	Consider explaining why	Betrachten Sie erklären, warum
issue.comment.posted_on	Comment posted on	Kommentar veröffentlicht auf
issue.comment.edit	Edit comment	Kommentar bearbeiten
issue.comment.delete	Delete comment	Kommentar auslöschen
issue.comment.delete_confirm_message	Do you want to delete this comment?	Möchten Sie diesen Kommentar löschen?
issue.manual_vulnerability	Manual	Handbuch
issue.manual_vulnerability.description	This Vulnerability was created from a Security Hotspot and has its own issue workflow.	Diese Sicherheitsanfälligkeit wurde aus einem Sicherheits Hotspot erstellt und verfügt über eine eigene Ausgabe-Workflow.
issue.rule_details	Rule Details	Regeldetails
issue.send_notifications	Send Notifications	Senden Benachrichtigungen
issue.why_this_issue	Why is this an issue?	Warum ist das ein Problem?
issue.why_this_issue.long	Why is this an issue? Open the rule's details at the bottom of the page.	Warum ist das ein Problem? Öffnen Sie die Details des Regel am unteren Rand der Seite.
issue.type.type_x_click_to_change	Type: {0}, click to change	Typ: {0}, klicken Sie auf Änderung
issue.severity.severity_x_click_to_change	Severity: {0}, click to change	Schwere: {0}, klicken Sie auf Änderung
issue.transition.community_plug_link	SonarSource Community	SonarSource Gemeinschaft
issue.transition.status_x_click_to_change	Issue status: {0}, click to change	Ausgabestand: {0}, klicken Sie auf Änderung
issue.transition	Transition	Überleitung
issue.transition.confirm	Confirm	Bestätigen
issue.transition.confirm.description	This issue has been reviewed and something should be done eventually to handle it.	Dieses Problem wurde überprüft und etwas soll es schließlich zu behandeln erfolgen.
issue.transition.unconfirm	Unconfirm	unconfirm
issue.transition.unconfirm.description	This issue should be reviewed again to decide what to do with it.	Dieses Problem sollte erneut überprüft werden, um zu entscheiden, was damit zu tun.
issue.transition.resolve	Resolve as fixed	Resolve als Fest
issue.transition.resolve.description	This issue has been fixed in the code and is waiting for the next analysis to close it - or reopen it if it was not actually fixed.	Dieses Problem wurde in dem Code festgelegt und wartet auf die nächste Analyse um es zu schließen - oder es wieder zu öffnen, wenn es nicht wirklich festgelegt.
issue.transition.falsepositive	Resolve as false positive	Resolve als falsch positiv
issue.transition.falsepositive.description	This issue can be suppressed as it was not raised accurately. Please report false-positives to the {community_plug_link}!	Dieses Problem kann unterdrückt werden, wie es war genau nicht erhöht. Bitte melden Sie falsch-positive Ergebnisse zu den {community_plug_link}!
